timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137079.824822187,413,5130,4616,446,4170,30471,1.068070
1658137079.924921036,414,5775,5132,434,4698,30905,0.950979
1658137080.024763823,415,5335,4757,419,4338,31324,0.809971
1658137080.124858618,416,5104,4579,401,4178,31725,1.438616
1658137080.224817514,417,4738,4285,384,3901,32109,0.672644
1658137080.324759007,418,6385,5670,428,5242,32537,1.339164
1658137080.424849749,419,5222,4670,322,4348,32859,0.724338
1658137080.524818420,420,5081,4557,436,4121,33295,1.117365
1658137080.624908209,421,5012,4514,490,4024,33785,0.655968
1658137080.724747419,422,6097,5441,466,4975,34251,1.289333
1658137080.824847221,423,5563,4964,392,4572,34643,0.813167
1658137080.924810410,424,5220,4708,436,4272,35079,0.820855
1658137081.024899244,425,5194,4634,359,4275,35438,0.754643
1658137081.124731541,426,5402,4818,378,4440,35816,0.937786
1658137081.224839687,427,6327,5615,447,5168,36263,0.914333
1658137081.324909210,428,6138,5483,438,5045,36701,1.076319
1658137081.424733877,429,5285,4824,488,4336,37189,0.914315
1658137081.524811745,430,6128,5525,498,5027,37687,0.918651
1658137081.624908447,431,6346,5658,419,5239,38106,1.239155
1658137081.724735260,432,4978,4525,382,4143,38488,0.761050
1658137081.824832678,433,5026,4595,438,4157,38926,0.775012
1658137081.924919367,434,6231,5625,562,5063,39488,1.384870
1658137082.024763584,435,5920,5329,561,4768,40049,0.957221
1658137082.124833584,436,6201,5612,462,5150,40511,1.419609
1658137082.224925041,437,5596,5028,399,4629,40910,1.021447
1658137082.324779987,438,6045,5490,428,5062,41338,1.061662
1658137082.424867392,439,5839,5350,456,4894,41794,1.159958
1658137082.524712563,440,5291,4840,483,4357,42277,4.569693
1658137082.624928474,441,6294,5691,501,5190,42778,0.931277
1658137082.724761963,442,5546,5067,425,4642,43203,0.847529
1658137082.824846506,443,7030,6347,546,5801,43749,0.985808
1658137082.924818993,444,5296,4837,397,4440,44146,0.816134
1658137083.024910450,445,7060,6359,495,5864,44641,1.036571
1658137083.124746561,446,6122,5609,484,5125,45125,0.895194
1658137083.224844456,447,5564,5117,442,4675,45567,1.235596
1658137083.324917793,448,6120,5571,489,5082,46056,0.981669
1658137083.424769878,449,5695,5240,523,4717,46579,1.267020
1658137083.524865866,450,6200,5651,447,5204,47026,1.618632
1658137083.624713421,451,5551,5070,476,4594,47502,0.854415
1658137083.724925041,452,5822,5353,545,4808,48047,1.324584
1658137083.824763536,453,5913,5399,438,4961,48485,0.954113
1658137083.924876213,454,5913,5416,472,4944,48957,1.044404
1658137084.024830818,455,7410,6756,661,6095,49618,1.282269
1658137084.124914169,456,6090,5631,583,5048,50201,1.107549
1658137084.224746943,457,5973,5516,485,5031,50686,1.149508
1658137084.324932098,458,6399,5904,481,5423,51167,1.042002
1658137084.424779177,459,5732,5273,577,4696,51744,0.982877
1658137084.524882078,460,7078,6508,525,5983,52269,1.819765
1658137084.624730587,461,7280,6682,553,6129,52822,1.494241
